Feature,Coefficient
texture_worst,1.4340931710338387
radius_se,1.2333251663808182
symmetry_worst,1.0612636621709484
concave points_mean,0.9528128318119832
concavity_worst,0.9114058021854964
area_se,0.9090290582882162
area_worst,0.9004766112545065
radius_worst,0.8969678339058812
concavity_mean,0.7822983533225197
perimeter_se,0.7482947115713598
perimeter_worst,0.7231114802873424
concave points_worst,0.7039988067031903
texture_mean,0.48221940329617896
concave points_se,0.482089078592353
area_mean,0.43995028198850405
smoothness_worst,0.4202067546570014
radius_mean,0.36115006844913433
perimeter_mean,0.35315986626691365
smoothness_mean,0.35062155829171676
smoothness_se,0.24799098171630432
fractal_dimension_worst,0.05486987894732652
fractal_dimension_mean,-0.08086512047777333
concavity_se,-0.092340694482394
symmetry_mean,-0.16399086837706833
compactness_worst,-0.17348750804499538
symmetry_se,-0.3306577340565415
texture_se,-0.40761125826206496
compactness_mean,-0.4395461480874432
fractal_dimension_se,-0.5938763200364324
compactness_se,-0.906924802419264
